DATAFLOW,LAST UPDATE,freq,itm_newa,indic_ag,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,1980,1762.91,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,1981,1688.87,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,1982,1672.50,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,1983,1565.36,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,1984,1703.82,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,1985,1740.23,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,1986,1729.79,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,1987,1918.35,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,1988,1907.03,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,1989,1754.33,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,1990,1604.07,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,1991,1597.65,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,1992,1633.95,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,1993,1638.86,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,1994,1565.34,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,1995,1559.13,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,1996,1568.39,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,1997,1698.39,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,1998,1597.38,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,1999,1625.51,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,2000,1673.75,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,2001,1751.24,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,2002,1788.94,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,2003,1840.38,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,2004,1886.98,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,2005,1778.02,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,2006,1743.60,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,2007,1863.47,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,2008,1630.54,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,2009,1455.73,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,2010,1435.35,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,2011,1563.82,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,2012,1530.82,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,2013,1498.52,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,2014,1533.29,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,2015,1557.67,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,2016,1591.47,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,2017,1601.81,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,2018,1553.76,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,2019,1559.97,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,2020,1676.97,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,2021,1651.82,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,2022,1610.52,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,19030,PROD_BP,MIO_EUR,IT,2023,1586.36,e
