DATAFLOW,LAST UPDATE,freq,meat,meatitem,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,1980,1146.07,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,1981,1110.99,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,1982,1104.50,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,1983,1147.17,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,1984,1181.88,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,1985,1200.50,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,1986,1175.89,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,1987,1174.41,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,1988,1164.12,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,1989,1146.91,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,1990,1165.35,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,1991,1181.60,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,1992,1217.65,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,1993,1187.54,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,1994,1172.93,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,1995,1181.09,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,1996,1181.97,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,1997,1160.36,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,1998,1113.20,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,1999,1164.43,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,2000,1154.12,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,2001,1133.04,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,2002,1133.80,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,2003,1127.82,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,2004,1151.36,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,2005,1114.15,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,2006,1110.63,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,2007,1126.65,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,2008,1059.24,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,2009,1055.01,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,2010,1075.41,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,2011,1009.21,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,2012,981.12,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,2013,855.32,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,2014,709.43,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,2015,788.28,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,2016,809.66,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,2017,756.42,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,2018,809.22,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,2019,779.82,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,2020,732.28,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,2021,747.89,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,2022,747.21,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B1000,SL,THS_T,IT,2023,619.85,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,1982,67.72,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,1983,67.36,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,1984,70.43,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,1985,69.65,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,1986,66.41,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,1987,70.47,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,1988,72.88,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,1989,79.09,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,1990,94.92,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,1991,84.78,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,1992,86.00,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,1993,80.82,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,1994,78.12,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,1995,76.02,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,1996,77.55,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,1997,75.79,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,1998,73.26,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,1999,73.44,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,2000,69.05,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,2001,66.14,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,2002,63.00,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,2003,59.79,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,2004,62.89,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,2005,61.55,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,2006,61.50,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,2007,61.32,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,2008,59.62,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,2009,41.05,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,2010,39.20,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,2011,33.73,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,2012,32.17,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,2013,36.55,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,2014,26.64,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,2015,35.44,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,2016,32.92,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,2017,35.03,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,2018,35.58,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,2019,32.64,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,2020,29.80,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,2021,30.20,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,2022,30.26,
ESTAT:APRO_MT_PANN(1.0),18/09/24 23:00:00,A,B4000,SL,THS_T,IT,2023,27.56,
