DATAFLOW,LAST UPDATE,freq,dairyprod,milkitem,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,1980,8007.55,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,1981,7879.67,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,1982,8196.20,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,1983,8338.37,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,1984,8402.90,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,1985,8729.80,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,1986,8745.40,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,1987,8858.10,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,1988,8789.50,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,1989,8684.70,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,1990,10374.40,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,1991,10257.00,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,1992,10160.80,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,1993,9934.40,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,1994,10032.10,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,1995,10455.10,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,1996,10673.70,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,1997,10586.00,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,1998,10877.00,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,1999,10874.53,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,2000,10647.75,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,2001,10659.60,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,2002,10556.64,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,2003,10630.10,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,2004,10615.38,p
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,2005,10875.74,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,2006,10877.60,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,2007,10990.97,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,2008,11181.86,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,2009,11198.43,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,2010,12686.29,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,2011,,c
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,2012,,c
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,2013,,c
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,2014,13036.62,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,2015,13158.47,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,2016,13321.70,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,2017,13623.01,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,2018,13804.97,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,2019,13925.59,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,2020,13399.80,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,2021,13902.71,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,2022,13850.25,
ESTAT:APRO_MK_POBTA(1.0),21/10/24 23:00:00,A,D1100DU,PRO,IT,2023,13749.41,
