DATAFLOW,LAST UPDATE,freq,crops,strucpro,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,C0000,AR,IT,1980,5110.60,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,C0000,AR,IT,1981,5007.30,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,C0000,AR,IT,1982,5115.90,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,C0000,AR,IT,1983,5128.60,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,C0000,AR,IT,1984,5077.10,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,C0000,AR,IT,1985,4801.50,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,C0000,AR,IT,1986,4847.90,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,C0000,AR,IT,1987,4693.80,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,C0000,AR,IT,1988,4569.60,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,C0000,AR,IT,1989,4627.10,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,C0000,AR,IT,1990,4406.70,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,C0000,AR,IT,1991,4401.70,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,C0000,AR,IT,1992,4228.10,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,C0000,AR,IT,1993,4079.60,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,C0000,AR,IT,1994,4103.60,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,C0000,AR,IT,1995,4225.20,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,C0000,AR,IT,1996,4221.50,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,C0000,AR,IT,1997,4196.70,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,C0000,AR,IT,1998,4067.80,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,C0000,AR,IT,1999,4173.30,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,P0000,AR,IT,1980,240.60,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,P0000,AR,IT,1981,233.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,P0000,AR,IT,1982,228.30,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,P0000,AR,IT,1983,222.20,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,P0000,AR,IT,1984,212.20,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,P0000,AR,IT,1985,192.60,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,P0000,AR,IT,1986,178.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,P0000,AR,IT,1987,174.90,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,P0000,AR,IT,1988,166.20,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,P0000,AR,IT,1989,157.10,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,P0000,AR,IT,1990,151.90,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,P0000,AR,IT,1991,148.50,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,P0000,AR,IT,1992,129.90,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,P0000,AR,IT,1993,125.30,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,P0000,AR,IT,1994,105.10,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,P0000,AR,IT,1995,97.40,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,P0000,AR,IT,1996,72.80,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,P0000,AR,IT,1997,69.30,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,P0000,AR,IT,1998,70.30,
ESTAT:APRO_CPNH1_H(1.0),01/08/23 23:00:00,A,P0000,AR,IT,1999,67.50,
