DATAFLOW,LAST UPDATE,freq,crops,strucpro,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_CPSH1(1.0),25/10/24 23:00:00,A,C0000,PR_HU_EU,IT,2000,20622.20,
ESTAT:APRO_CPSH1(1.0),25/10/24 23:00:00,A,C0000,PR_HU_EU,IT,2001,19933.20,
ESTAT:APRO_CPSH1(1.0),25/10/24 23:00:00,A,C0000,PR_HU_EU,IT,2002,21256.10,
ESTAT:APRO_CPSH1(1.0),25/10/24 23:00:00,A,C0000,PR_HU_EU,IT,2003,17864.10,
ESTAT:APRO_CPSH1(1.0),25/10/24 23:00:00,A,C0000,PR_HU_EU,IT,2004,23294.20,
ESTAT:APRO_CPSH1(1.0),25/10/24 23:00:00,A,C0000,PR_HU_EU,IT,2005,21505.10,
ESTAT:APRO_CPSH1(1.0),25/10/24 23:00:00,A,C0000,PR_HU_EU,IT,2006,20206.60,
ESTAT:APRO_CPSH1(1.0),25/10/24 23:00:00,A,C0000,PR_HU_EU,IT,2007,20303.70,
ESTAT:APRO_CPSH1(1.0),25/10/24 23:00:00,A,C0000,PR_HU_EU,IT,2008,21847.93,
ESTAT:APRO_CPSH1(1.0),25/10/24 23:00:00,A,C0000,PR_HU_EU,IT,2009,17562.91,
ESTAT:APRO_CPSH1(1.0),25/10/24 23:00:00,A,C0000,PR_HU_EU,IT,2010,20960.33,
ESTAT:APRO_CPSH1(1.0),25/10/24 23:00:00,A,C0000,PR_HU_EU,IT,2011,17923.47,
ESTAT:APRO_CPSH1(1.0),25/10/24 23:00:00,A,C0000,PR_HU_EU,IT,2012,18958.76,
ESTAT:APRO_CPSH1(1.0),25/10/24 23:00:00,A,C0000,PR_HU_EU,IT,2013,18597.75,
ESTAT:APRO_CPSH1(1.0),25/10/24 23:00:00,A,C0000,PR_HU_EU,IT,2014,19769.47,
ESTAT:APRO_CPSH1(1.0),25/10/24 23:00:00,A,C0000,PR_HU_EU,IT,2015,17462.24,
ESTAT:APRO_CPSH1(1.0),25/10/24 23:00:00,A,C0000,PR_HU_EU,IT,2016,18363.10,
ESTAT:APRO_CPSH1(1.0),25/10/24 23:00:00,A,C0000,PR_HU_EU,IT,2017,16554.95,
ESTAT:APRO_CPSH1(1.0),25/10/24 23:00:00,A,C0000,PR_HU_EU,IT,2018,16615.46,
ESTAT:APRO_CPSH1(1.0),25/10/24 23:00:00,A,C0000,PR_HU_EU,IT,2019,16433.50,
ESTAT:APRO_CPSH1(1.0),25/10/24 23:00:00,A,C0000,PR_HU_EU,IT,2020,17022.90,
ESTAT:APRO_CPSH1(1.0),25/10/24 23:00:00,A,C0000,PR_HU_EU,IT,2021,16632.66,
ESTAT:APRO_CPSH1(1.0),25/10/24 23:00:00,A,C0000,PR_HU_EU,IT,2022,14337.92,
