DATAFLOW,LAST UPDATE,freq,itm_newa,indic_ag,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,18000,PROD_BP,MIO_EUR,IT,1980,48522.62,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,18000,PROD_BP,MIO_EUR,IT,1981,48372.64,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,18000,PROD_BP,MIO_EUR,IT,1982,47817.05,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,18000,PROD_BP,MIO_EUR,IT,1983,50515.09,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,18000,PROD_BP,MIO_EUR,IT,1984,48666.90,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,18000,PROD_BP,MIO_EUR,IT,1985,48867.24,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,18000,PROD_BP,MIO_EUR,IT,1986,49289.20,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,18000,PROD_BP,MIO_EUR,IT,1987,51127.74,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,18000,PROD_BP,MIO_EUR,IT,1988,49984.31,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,18000,PROD_BP,MIO_EUR,IT,1989,50649.05,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,18000,PROD_BP,MIO_EUR,IT,1990,49317.14,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,18000,PROD_BP,MIO_EUR,IT,1991,52374.29,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,18000,PROD_BP,MIO_EUR,IT,1992,52561.08,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,18000,PROD_BP,MIO_EUR,IT,1993,51714.72,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,18000,PROD_BP,MIO_EUR,IT,1994,51772.71,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,18000,PROD_BP,MIO_EUR,IT,1995,52201.64,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,18000,PROD_BP,MIO_EUR,IT,1996,52718.76,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,18000,PROD_BP,MIO_EUR,IT,1997,53305.36,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,18000,PROD_BP,MIO_EUR,IT,1998,54360.41,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,18000,PROD_BP,MIO_EUR,IT,1999,56598.12,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,18000,PROD_BP,MIO_EUR,IT,2000,55937.89,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,18000,PROD_BP,MIO_EUR,IT,2001,55932.36,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,18000,PROD_BP,MIO_EUR,IT,2002,54336.93,
