DATAFLOW,LAST UPDATE,freq,itm_newa,indic_ag,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,1980,156.00,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,1981,153.15,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,1982,150.34,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,1983,158.50,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,1984,150.69,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,1985,150.50,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,1986,151.39,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,1987,157.04,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,1988,150.85,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,1989,152.53,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,1990,145.43,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,1991,154.77,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,1992,154.83,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,1993,152.51,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,1994,152.30,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,1995,153.68,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,1996,156.47,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,1997,157.13,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,1998,156.87,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,1999,163.97,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,2000,253.07,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,2001,254.77,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,2002,258.18,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,2003,230.88,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,2004,284.42,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,2005,164.90,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,2006,157.81,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,2007,143.25,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,2008,158.05,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,2009,138.54,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,2010,143.16,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,2011,140.12,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,2012,143.93,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,2013,134.12,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,2014,109.84,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,2015,135.00,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,2016,136.03,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,2017,141.92,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,2018,126.02,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,2019,125.32,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,2020,124.78,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,2021,128.48,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,2022,113.65,
ESTAT:AACT_EAA03(1.0),15/05/24 11:00:00,A,16000,SUBS,MIO_EUR,IT,2023,115.09,e
