DATAFLOW,LAST UPDATE,freq,currency,prod_apr,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4150,IT,1980,190.95,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4150,IT,1981,213.63,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4150,IT,1982,228.09,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4150,IT,1983,231.56,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4150,IT,1984,236.18,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4150,IT,1985,244.08,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4150,IT,1986,242.76,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4150,IT,1987,247.59,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4150,IT,1988,251.63,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4150,IT,1989,301.37,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4150,IT,1990,288.08,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4150,IT,1991,279.59,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4150,IT,1992,291.77,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4150,IT,1993,295.13,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4150,IT,1994,275.18,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4150,IT,1995,275.36,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4150,IT,1996,252.27,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4150,IT,1997,250.37,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4150,IT,1998,268.34,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4150,IT,1999,266.33,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4733,IT,1980,135.45,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4733,IT,1981,160.65,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4733,IT,1982,198.32,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4733,IT,1983,190.57,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4733,IT,1984,185.37,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4733,IT,1985,187.34,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4733,IT,1986,195.31,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4733,IT,1987,183.07,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4733,IT,1988,195.26,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4733,IT,1989,192.66,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4733,IT,1990,201.79,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4733,IT,1991,193.80,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4733,IT,1992,149.31,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4733,IT,1993,149.67,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4733,IT,1994,125.97,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4733,IT,1995,118.26,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4733,IT,1996,133.33,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4733,IT,1997,136.57,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4733,IT,1998,135.86,
ESTAT:APRI_AP_HAOUTA(1.0),27/03/09 11:00:00,A,EUR,4733,IT,1999,134.77,
